Liga,Fecha,Equipo_Local,Equipo_Visitante,Goles_Local,Goles_Visitante,Resultado,Diferencia_Goles
English Second,2025-01-15,Blackburn,Portsmouth,3,0,H,3
English Second,2025-01-14,Cardiff,Watford,1,1,D,0
English Second,2025-01-14,Plymouth,Oxford,1,1,D,0
English Second,2025-01-06,QPR,Luton,2,1,H,1
English Second,2025-01-05,Sunderland,Portsmouth,1,0,H,1
English Second,2025-01-04,Blackburn,Burnley,0,1,A,-1
English Second,2025-01-04,Stoke,Plymouth,0,0,D,0
English Second,2025-01-04,Swansea,West Brom,1,1,D,0
English Second,2025-01-04,Bristol City,Derby,1,0,H,1
English Second,2025-01-04,Hull,Leeds,3,3,D,0
English Second,2025-01-04,Middlesbrough,Cardiff,1,1,D,0
English Second,2025-01-04,Norwich,Coventry,2,1,H,1
English Second,2025-01-04,Preston,Oxford,1,1,D,0
English Second,2025-01-04,Sheffield Weds,Millwall,2,2,D,0
English Second,2025-01-04,Watford,Sheffield United,1,2,A,-1
English Second,2025-01-01,Plymouth,Bristol City,2,2,D,0
English Second,2025-01-01,QPR,Watford,3,1,H,2
English Second,2025-01-01,Millwall,Oxford,0,1,A,-1
English Second,2025-01-01,Burnley,Stoke,0,0,D,0
English Second,2025-01-01,Cardiff,Coventry,1,1,D,0
English Second,2025-01-01,Leeds,Blackburn,1,1,D,0
English Second,2025-01-01,Luton,Norwich,0,1,A,-1
English Second,2025-01-01,Portsmouth,Swansea,4,0,H,4
English Second,2025-01-01,Sheffield Weds,Derby,4,2,H,2
English Second,2025-01-01,West Brom,Preston,3,1,H,2
English Second,2025-01-01,Hull,Middlesbrough,0,1,A,-1
English Second,2025-01-01,Sunderland,Sheffield United,2,1,H,1
English Second,2024-12-29,Norwich,QPR,1,1,D,0
English Second,2024-12-29,Preston,Sheffield Weds,3,1,H,2
English Second,2024-12-29,Sheffield United,West Brom,1,1,D,0
English Second,2024-12-29,Blackburn,Hull,0,1,A,-1
English Second,2024-12-29,Bristol City,Portsmouth,3,0,H,3
English Second,2024-12-29,Coventry,Millwall,0,0,D,0
English Second,2024-12-29,Oxford,Plymouth,2,0,H,2
English Second,2024-12-29,Stoke,Sunderland,1,0,H,1
English Second,2024-12-29,Swansea,Luton,2,1,H,1
English Second,2024-12-29,Watford,Cardiff,1,2,A,-1
English Second,2024-12-29,Derby,Leeds,0,1,A,-1
English Second,2024-12-29,Middlesbrough,Burnley,0,0,D,0
English Second,2024-12-26,Blackburn,Sunderland,2,2,D,0
English Second,2024-12-26,Bristol City,Luton,1,0,H,1
English Second,2024-12-26,Coventry,Plymouth,4,0,H,4
English Second,2024-12-26,Middlesbrough,Sheffield Weds,3,3,D,0
English Second,2024-12-26,Norwich,Millwall,2,1,H,1
English Second,2024-12-26,Oxford,Cardiff,3,2,H,1
English Second,2024-12-26,Preston,Hull,1,0,H,1
English Second,2024-12-26,Sheffield United,Burnley,0,2,A,-2
English Second,2024-12-26,Swansea,QPR,3,0,H,3
English Second,2024-12-26,Watford,Portsmouth,2,1,H,1
English Second,2024-12-26,Derby,West Brom,2,1,H,1
English Second,2024-12-26,Stoke,Leeds,0,2,A,-2
English Second,2024-12-22,West Brom,Bristol City,2,0,H,2
English Second,2024-12-21,Hull,Swansea,2,1,H,1
English Second,2024-12-21,Portsmouth,Coventry,4,1,H,3
English Second,2024-12-21,Sheffield Weds,Stoke,2,0,H,2
English Second,2024-12-21,Burnley,Watford,2,1,H,1
